## FBCSP + classifier

| abbr.                                | test_score       | train_score      | params                                                                                                  |
|--------------------------------------|------------------|------------------|---------------------------------------------------------------------------------------------------------|
| [8, 32]_4_8_SVC(kernel='poly')       | 0.816 (+/-0.092) | 0.865 (+/-0.016) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 8, 'classify': SVC(kernel='poly')}       |
| [8, 32]_4_6_SVC(kernel='poly')       | 0.816 (+/-0.092) | 0.865 (+/-0.016) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}       |
| [8, 32]_4_4_SVC(kernel='poly')       | 0.816 (+/-0.092) | 0.865 (+/-0.016) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 4, 'classify': SVC(kernel='poly')}       |
| [8, 32]_4_8_SVC()                    | 0.807 (+/-0.098) | 0.857 (+/-0.013) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 8, 'classify': SVC()}                    |
| [8, 32]_4_6_SVC()                    | 0.807 (+/-0.098) | 0.857 (+/-0.013) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 6, 'classify': SVC()}                    |
| [8, 32]_4_4_SVC()                    | 0.807 (+/-0.098) | 0.857 (+/-0.013) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 4, 'classify': SVC()}                    |
| [8, 32]_2_4_LogisticRegression()     | 0.803 (+/-0.090) | 0.815 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 2, 'FBCSP__n_components': 4, 'classify': LogisticRegression()}     |
| [8, 32]_2_6_LogisticRegression()     | 0.803 (+/-0.090) | 0.815 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 2, 'FBCSP__n_components': 6, 'classify': LogisticRegression()}     |
| [8, 32]_2_8_LogisticRegression()     | 0.803 (+/-0.090) | 0.815 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 2, 'FBCSP__n_components': 8, 'classify': LogisticRegression()}     |
| [8, 32]_2_4_SVC()                    | 0.802 (+/-0.094) | 0.820 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 2, 'FBCSP__n_components': 4, 'classify': SVC()}                    |
| [8, 32]_2_8_SVC()                    | 0.802 (+/-0.094) | 0.820 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 2, 'FBCSP__n_components': 8, 'classify': SVC()}                    |
| [8, 32]_2_6_SVC()                    | 0.802 (+/-0.094) | 0.820 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 2, 'FBCSP__n_components': 6, 'classify': SVC()}                    |
| [8, 32]_4_4_LogisticRegression()     | 0.796 (+/-0.092) | 0.825 (+/-0.014) | {'FBCSP__band': [8, 32], 'FBCSP__k': 4, 'FBCSP__n_components': 4, 'classify': LogisticRegression()}     |
