## CSP + classifier
| abbr.                                     | test_score       | train_score      | params                                                                                     |
|-------------------------------------------|------------------|------------------|--------------------------------------------------------------------------------------------|
| logeuclid_4_SVC()                         | 0.682 (+/-0.047) | 0.714 (+/-0.012) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 4, 'classify': SVC()}                         |
| logeuclid_4_SVC(C=0.8)                    | 0.681 (+/-0.046) | 0.712 (+/-0.011) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 4, 'classify': SVC(C=0.8)}                    |
| riemann_6_SVC()                           | 0.681 (+/-0.047) | 0.737 (+/-0.012) | {'CSP__metric': 'riemann', 'CSP__nfilter': 6, 'classify': SVC()}                           |
| riemann_7_SVC()                           | 0.680 (+/-0.048) | 0.742 (+/-0.012) | {'CSP__metric': 'riemann', 'CSP__nfilter': 7, 'classify': SVC()}                           |
| riemann_5_SVC()                           | 0.679 (+/-0.044) | 0.730 (+/-0.011) | {'CSP__metric': 'riemann', 'CSP__nfilter': 5, 'classify': SVC()}                           |
| riemann_4_SVC()                           | 0.678 (+/-0.048) | 0.720 (+/-0.012) | {'CSP__metric': 'riemann', 'CSP__nfilter': 4, 'classify': SVC()}                           |
| riemann_8_SVC()                           | 0.677 (+/-0.051) | 0.751 (+/-0.012) | {'CSP__metric': 'riemann', 'CSP__nfilter': 8, 'classify': SVC()}                           |
| logeuclid_8_SVC()                         | 0.676 (+/-0.054) | 0.743 (+/-0.016) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 8, 'classify': SVC()}                         |
| logeuclid_5_SVC(C=0.8)                    | 0.674 (+/-0.048) | 0.718 (+/-0.012) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 5, 'classify': SVC(C=0.8)}                    |
| logeuclid_5_SVC()                         | 0.674 (+/-0.047) | 0.721 (+/-0.012) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 5, 'classify': SVC()}                         |
