# ea & Leave2Out
## TangentSpace Mapping
| abbr.                                             | test_score       | train_score      | params                                                                           |
|---------------------------------------------------|------------------|------------------|----------------------------------------------------------------------------------|
| TSFeatureExtractor()_SVC(kernel='poly')           | 0.518 (+/-0.033) | 0.700 (+/-0.069) | {'TangentSpace': TSFeatureExtractor(), 'classify': SVC(kernel='poly')}           |
| TangentSpace()_SVC(kernel='poly')                 | 0.501 (+/-0.002) | 0.636 (+/-0.042) | {'TangentSpace': TangentSpace(), 'classify': SVC(kernel='poly')}                 |
| TangentSpace()_LogisticRegression()               | 0.500 (+/-0.001) | 0.803 (+/-0.026) | {'TangentSpace': TangentSpace(), 'classify': LogisticRegression()}               |
| TangentSpace()_LinearDiscriminantAnalysis()       | 0.500 (+/-0.001) | 0.834 (+/-0.037) | {'TangentSpace': TangentSpace(), 'classify': LinearDiscriminantAnalysis()}       |
| TSFeatureExtractor()_SVC()                        | 0.500 (+/-0.000) | 0.735 (+/-0.074) | {'TangentSpace': TSFeatureExtractor(), 'classify': SVC()}                        |
| TSFeatureExtractor()_LogisticRegression()         | 0.500 (+/-0.000) | 0.687 (+/-0.055) | {'TangentSpace': TSFeatureExtractor(), 'classify': LogisticRegression()}         |
| TSFeatureExtractor()_LinearDiscriminantAnalysis() | 0.500 (+/-0.000) | 0.693 (+/-0.055) | {'TangentSpace': TSFeatureExtractor(), 'classify': LinearDiscriminantAnalysis()} |
| TangentSpace()_SVC()                              | 0.500 (+/-0.000) | 0.652 (+/-0.078) | {'TangentSpace': TangentSpace(), 'classify': SVC()}                              |
## CSP + classifier
| abbr.                                     | test_score       | train_score      | params                                                                                     |
|-------------------------------------------|------------------|------------------|--------------------------------------------------------------------------------------------|
| riemann_6_LogisticRegression()            | 0.509 (+/-0.014) | 0.672 (+/-0.024) | {'CSP__metric': 'riemann', 'CSP__nfilter': 6, 'classify': LogisticRegression()}            |
| euclid_5_GaussianNB(priors=[0.5, 0.5])    | 0.509 (+/-0.020) | 0.620 (+/-0.040) | {'CSP__metric': 'euclid', 'CSP__nfilter': 5, 'classify': GaussianNB(priors=[0.5, 0.5])}    |
| logeuclid_4_LinearDiscriminantAnalysis()  | 0.509 (+/-0.032) | 0.581 (+/-0.031) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 4, 'classify': LinearDiscriminantAnalysis()}  |
| riemann_7_LogisticRegression()            | 0.503 (+/-0.007) | 0.673 (+/-0.024) | {'CSP__metric': 'riemann', 'CSP__nfilter': 7, 'classify': LogisticRegression()}            |
| riemann_4_LogisticRegression()            | 0.502 (+/-0.005) | 0.652 (+/-0.013) | {'CSP__metric': 'riemann', 'CSP__nfilter': 4, 'classify': LogisticRegression()}            |
| euclid_7_LogisticRegression()             | 0.502 (+/-0.005) | 0.682 (+/-0.022) | {'CSP__metric': 'euclid', 'CSP__nfilter': 7, 'classify': LogisticRegression()}             |
| riemann_4_SVC()                           | 0.502 (+/-0.004) | 0.688 (+/-0.035) | {'CSP__metric': 'riemann', 'CSP__nfilter': 4, 'classify': SVC()}                           |
| logeuclid_8_SVC()                         | 0.502 (+/-0.004) | 0.590 (+/-0.049) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 8, 'classify': SVC()}                         |
| euclid_4_LogisticRegression()             | 0.501 (+/-0.002) | 0.640 (+/-0.056) | {'CSP__metric': 'euclid', 'CSP__nfilter': 4, 'classify': LogisticRegression()}             |
| euclid_4_LinearDiscriminantAnalysis()     | 0.501 (+/-0.002) | 0.635 (+/-0.062) | {'CSP__metric': 'euclid', 'CSP__nfilter': 4, 'classify': LinearDiscriminantAnalysis()}     |
| logeuclid_7_LogisticRegression()          | 0.501 (+/-0.002) | 0.580 (+/-0.037) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 7, 'classify': LogisticRegression()}          |
| logeuclid_5_LogisticRegression()          | 0.501 (+/-0.002) | 0.568 (+/-0.027) | {'CSP__metric': 'logeuclid', 'CSP__nfilter': 5, 'classify': LogisticRegression()}          |
