# orig_data & Leave1Out
## BrainNetv2 classify
| abbr.            | test_score       | train_score      | params                                                             |
|------------------|------------------|------------------|--------------------------------------------------------------------|
| 50_None_0.6_100  | 0.538 (+/-0.031) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.6, 'epochs': 100}  |
| 100_None_0.4_150 | 0.532 (+/-0.016) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.4, 'epochs': 150} |
| 150_None_0.2_100 | 0.529 (+/-0.036) | 0.999 (+/-0.002) | {'batch_size': 150, 'data': None, 'dropout_p': 0.2, 'epochs': 100} |
| 50_None_0.4_100  | 0.528 (+/-0.019) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.4, 'epochs': 100}  |
| 150_None_0.2_150 | 0.528 (+/-0.021) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.2, 'epochs': 150} |
| 50_None_0.4_200  | 0.525 (+/-0.031) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.4, 'epochs': 200}  |
| 50_None_0.6_200  | 0.524 (+/-0.006) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.6, 'epochs': 200}  |
| 150_None_0.4_200 | 0.521 (+/-0.030) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.4, 'epochs': 200} |
| 50_None_0.2_200  | 0.520 (+/-0.032) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.2, 'epochs': 200}  |
| 150_None_0.2_50  | 0.519 (+/-0.027) | 0.913 (+/-0.057) | {'batch_size': 150, 'data': None, 'dropout_p': 0.2, 'epochs': 50}  |
| 100_None_0.6_100 | 0.518 (+/-0.011) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.6, 'epochs': 100} |
| 50_None_0.6_50   | 0.515 (+/-0.051) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.6, 'epochs': 50}   |
| 100_None_0.4_200 | 0.512 (+/-0.029) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.4, 'epochs': 200} |
| 150_None_0.4_50  | 0.512 (+/-0.013) | 0.954 (+/-0.040) | {'batch_size': 150, 'data': None, 'dropout_p': 0.4, 'epochs': 50}  |
| 100_None_0.2_50  | 0.510 (+/-0.031) | 0.977 (+/-0.032) | {'batch_size': 100, 'data': None, 'dropout_p': 0.2, 'epochs': 50}  |
| 50_None_0.4_150  | 0.509 (+/-0.034) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.4, 'epochs': 150}  |
| 150_None_0.2_200 | 0.509 (+/-0.018) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.2, 'epochs': 200} |
| 50_None_0.2_100  | 0.506 (+/-0.022) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.2, 'epochs': 100}  |
| 150_None_0.6_150 | 0.506 (+/-0.010) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.6, 'epochs': 150} |
| 50_None_0.2_50   | 0.506 (+/-0.043) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.2, 'epochs': 50}   |
| 100_None_0.6_200 | 0.505 (+/-0.006) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.6, 'epochs': 200} |
| 150_None_0.6_100 | 0.505 (+/-0.026) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.6, 'epochs': 100} |
| 150_None_0.6_200 | 0.505 (+/-0.020) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.6, 'epochs': 200} |
| 150_None_0.4_100 | 0.504 (+/-0.034) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.4, 'epochs': 100} |
| 50_None_0.2_150  | 0.502 (+/-0.016) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.2, 'epochs': 150}  |
| 100_None_0.4_100 | 0.501 (+/-0.017) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.4, 'epochs': 100} |
| 150_None_0.6_50  | 0.496 (+/-0.033) | 0.939 (+/-0.045) | {'batch_size': 150, 'data': None, 'dropout_p': 0.6, 'epochs': 50}  |
| 50_None_0.4_50   | 0.492 (+/-0.050) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.4, 'epochs': 50}   |
| 100_None_0.2_150 | 0.491 (+/-0.053) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.2, 'epochs': 150} |
| 100_None_0.6_50  | 0.489 (+/-0.018) | 0.957 (+/-0.060) | {'batch_size': 100, 'data': None, 'dropout_p': 0.6, 'epochs': 50}  |
| 100_None_0.2_100 | 0.488 (+/-0.020) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.2, 'epochs': 100} |
| 100_None_0.6_150 | 0.487 (+/-0.053) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.6, 'epochs': 150} |
| 150_None_0.4_150 | 0.485 (+/-0.022) | 1.000 (+/-0.000) | {'batch_size': 150, 'data': None, 'dropout_p': 0.4, 'epochs': 150} |
| 100_None_0.2_200 | 0.476 (+/-0.019) | 1.000 (+/-0.000) | {'batch_size': 100, 'data': None, 'dropout_p': 0.2, 'epochs': 200} |
| 100_None_0.4_50  | 0.475 (+/-0.022) | 0.986 (+/-0.014) | {'batch_size': 100, 'data': None, 'dropout_p': 0.4, 'epochs': 50}  |
| 50_None_0.6_150  | 0.470 (+/-0.043) | 1.000 (+/-0.000) | {'batch_size': 50, 'data': None, 'dropout_p': 0.6, 'epochs': 150}  |
