# orig_data & Leave1Out
## BrainNetv3 classify
|            abbr. | test_score       | train_score      | params                                |
|------------------|------------------|------------------|---------------------------------------|
|   2502           | 0.526 (+/-0.028) | 0.505 (+/-0.011) | {'T': 2, 'epochs': 50, 'tau': 2.0}    |
| 641008           | 0.520 (+/-0.035) | 0.497 (+/-0.005) | {'T': 64, 'epochs': 100, 'tau': 8.0}  |
|  44008           | 0.514 (+/-0.021) | 0.500 (+/-0.002) | {'T': 4, 'epochs': 400, 'tau': 8.0}   |
|      1.64002e+06 | 0.513 (+/-0.018) | 0.523 (+/-0.015) | {'T': 16, 'epochs': 400, 'tau': 16.0} |
|  16508           | 0.511 (+/-0.019) | 0.492 (+/-0.013) | {'T': 16, 'epochs': 50, 'tau': 8.0}   |
| 321002           | 0.510 (+/-0.017) | 0.506 (+/-0.010) | {'T': 32, 'epochs': 100, 'tau': 2.0}  |
| 642002           | 0.510 (+/-0.020) | 0.505 (+/-0.009) | {'T': 64, 'epochs': 200, 'tau': 2.0}  |
| 322002           | 0.509 (+/-0.018) | 0.505 (+/-0.010) | {'T': 32, 'epochs': 200, 'tau': 2.0}  |
| 240016           | 0.509 (+/-0.006) | 0.513 (+/-0.016) | {'T': 2, 'epochs': 400, 'tau': 16.0}  |
| 210016           | 0.508 (+/-0.013) | 0.497 (+/-0.005) | {'T': 2, 'epochs': 100, 'tau': 16.0}  |
|  82008           | 0.506 (+/-0.011) | 0.510 (+/-0.014) | {'T': 8, 'epochs': 200, 'tau': 8.0}   |
| 162008           | 0.506 (+/-0.011) | 0.492 (+/-0.013) | {'T': 16, 'epochs': 200, 'tau': 8.0}  |
| 810016           | 0.505 (+/-0.009) | 0.510 (+/-0.017) | {'T': 8, 'epochs': 100, 'tau': 16.0}  |
|  21002           | 0.505 (+/-0.009) | 0.500 (+/-0.001) | {'T': 2, 'epochs': 100, 'tau': 2.0}   |
|  84002           | 0.505 (+/-0.009) | 0.505 (+/-0.009) | {'T': 8, 'epochs': 400, 'tau': 2.0}   |
|  42002           | 0.505 (+/-0.005) | 0.500 (+/-0.003) | {'T': 4, 'epochs': 200, 'tau': 2.0}   |
|  82002           | 0.504 (+/-0.010) | 0.501 (+/-0.001) | {'T': 8, 'epochs': 200, 'tau': 2.0}   |
|   8504           | 0.504 (+/-0.030) | 0.497 (+/-0.003) | {'T': 8, 'epochs': 50, 'tau': 4.0}    |
|   4502           | 0.504 (+/-0.006) | 0.501 (+/-0.001) | {'T': 4, 'epochs': 50, 'tau': 2.0}    |
|  84008           | 0.502 (+/-0.004) | 0.503 (+/-0.005) | {'T': 8, 'epochs': 400, 'tau': 8.0}   |
|  42008           | 0.502 (+/-0.004) | 0.498 (+/-0.003) | {'T': 4, 'epochs': 200, 'tau': 8.0}   |
|   2508           | 0.502 (+/-0.003) | 0.500 (+/-0.001) | {'T': 2, 'epochs': 50, 'tau': 8.0}    |
|  81008           | 0.501 (+/-0.002) | 0.495 (+/-0.009) | {'T': 8, 'epochs': 100, 'tau': 8.0}   |
|  22008           | 0.501 (+/-0.002) | 0.499 (+/-0.001) | {'T': 2, 'epochs': 200, 'tau': 8.0}   |
|  45016           | 0.501 (+/-0.002) | 0.501 (+/-0.002) | {'T': 4, 'epochs': 50, 'tau': 16.0}   |
|  24008           | 0.501 (+/-0.002) | 0.500 (+/-0.001) | {'T': 2, 'epochs': 400, 'tau': 8.0}   |
| 644002           | 0.501 (+/-0.002) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 400, 'tau': 2.0}  |
|  32504           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 50, 'tau': 4.0}   |
| 642004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 200, 'tau': 4.0}  |
|  32502           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 50, 'tau': 2.0}   |
|  64504           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 50, 'tau': 4.0}   |
|      6.41002e+06 | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 100, 'tau': 16.0} |
| 164004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 400, 'tau': 4.0}  |
| 164002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 400, 'tau': 2.0}  |
| 644004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 400, 'tau': 4.0}  |
| 162004           | 0.500 (+/-0.000) | 0.500 (+/-0.001) | {'T': 16, 'epochs': 200, 'tau': 4.0}  |
| 642008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 200, 'tau': 8.0}  |
|      6.42002e+06 | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 200, 'tau': 16.0} |
|  32508           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 50, 'tau': 8.0}   |
| 325016           | 0.500 (+/-0.000) | 0.502 (+/-0.003) | {'T': 32, 'epochs': 50, 'tau': 16.0}  |
| 641004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 100, 'tau': 4.0}  |
| 321004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 100, 'tau': 4.0}  |
| 321008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 100, 'tau': 8.0}  |
|      3.21002e+06 | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 100, 'tau': 16.0} |
| 641002           | 0.500 (+/-0.000) | 0.501 (+/-0.001) | {'T': 64, 'epochs': 100, 'tau': 2.0}  |
| 645016           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 50, 'tau': 16.0}  |
| 322008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 200, 'tau': 8.0}  |
|      3.22002e+06 | 0.500 (+/-0.000) | 0.501 (+/-0.001) | {'T': 32, 'epochs': 200, 'tau': 16.0} |
| 162002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 200, 'tau': 2.0}  |
| 324002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 400, 'tau': 2.0}  |
| 324008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 400, 'tau': 8.0}  |
|      3.24002e+06 | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 32, 'epochs': 400, 'tau': 16.0} |
|  64508           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 50, 'tau': 8.0}   |
|      1.61002e+06 | 0.500 (+/-0.000) | 0.498 (+/-0.004) | {'T': 16, 'epochs': 100, 'tau': 16.0} |
|      6.44002e+06 | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 400, 'tau': 16.0} |
| 161004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 100, 'tau': 4.0}  |
|  21004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 2, 'epochs': 100, 'tau': 4.0}   |
|  21008           | 0.500 (+/-0.000) | 0.500 (+/-0.001) | {'T': 2, 'epochs': 100, 'tau': 8.0}   |
|  22002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 2, 'epochs': 200, 'tau': 2.0}   |
| 220016           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 2, 'epochs': 200, 'tau': 16.0}  |
|  24002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 2, 'epochs': 400, 'tau': 2.0}   |
|  24004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 2, 'epochs': 400, 'tau': 4.0}   |
|   4504           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 50, 'tau': 4.0}    |
|   4508           | 0.500 (+/-0.000) | 0.499 (+/-0.002) | {'T': 4, 'epochs': 50, 'tau': 8.0}    |
|  41002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 100, 'tau': 2.0}   |
|  41008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 100, 'tau': 8.0}   |
|  42004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 200, 'tau': 4.0}   |
| 161008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 100, 'tau': 8.0}  |
|  44002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 400, 'tau': 2.0}   |
|  44004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 400, 'tau': 4.0}   |
| 440016           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 400, 'tau': 16.0}  |
| 420016           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 4, 'epochs': 200, 'tau': 16.0}  |
|  84004           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 8, 'epochs': 400, 'tau': 4.0}   |
| 161002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 100, 'tau': 2.0}  |
|  85016           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 8, 'epochs': 50, 'tau': 16.0}   |
|  81002           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 8, 'epochs': 100, 'tau': 2.0}   |
|  81004           | 0.500 (+/-0.000) | 0.500 (+/-0.001) | {'T': 8, 'epochs': 100, 'tau': 4.0}   |
| 165016           | 0.500 (+/-0.000) | 0.497 (+/-0.005) | {'T': 16, 'epochs': 50, 'tau': 16.0}  |
|  16504           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 50, 'tau': 4.0}   |
|  82004           | 0.500 (+/-0.000) | 0.500 (+/-0.001) | {'T': 8, 'epochs': 200, 'tau': 4.0}   |
|  16502           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 16, 'epochs': 50, 'tau': 2.0}   |
| 820016           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 8, 'epochs': 200, 'tau': 16.0}  |
| 644008           | 0.500 (+/-0.000) | 0.500 (+/-0.000) | {'T': 64, 'epochs': 400, 'tau': 8.0}  |
|  22004           | 0.499 (+/-0.002) | 0.499 (+/-0.002) | {'T': 2, 'epochs': 200, 'tau': 4.0}   |
|   8508           | 0.499 (+/-0.002) | 0.506 (+/-0.010) | {'T': 8, 'epochs': 50, 'tau': 8.0}    |
|  64502           | 0.499 (+/-0.004) | 0.508 (+/-0.014) | {'T': 64, 'epochs': 50, 'tau': 2.0}   |
| 324004           | 0.496 (+/-0.006) | 0.502 (+/-0.003) | {'T': 32, 'epochs': 400, 'tau': 4.0}  |
| 164008           | 0.495 (+/-0.009) | 0.498 (+/-0.006) | {'T': 16, 'epochs': 400, 'tau': 8.0}  |
|  41004           | 0.494 (+/-0.011) | 0.500 (+/-0.001) | {'T': 4, 'epochs': 100, 'tau': 4.0}   |
|   2504           | 0.494 (+/-0.011) | 0.510 (+/-0.017) | {'T': 2, 'epochs': 50, 'tau': 4.0}    |
| 840016           | 0.494 (+/-0.014) | 0.508 (+/-0.008) | {'T': 8, 'epochs': 400, 'tau': 16.0}  |
|      1.62002e+06 | 0.492 (+/-0.016) | 0.508 (+/-0.009) | {'T': 16, 'epochs': 200, 'tau': 16.0} |
