# ra & Leave1Out
## BrainNetv3 classify
|            abbr. | test_score       | train_score      | params                                |
|------------------|------------------|------------------|---------------------------------------|
|  16508           | 0.547 (+/-0.054) | 0.532 (+/-0.023) | {'T': 16, 'epochs': 50, 'tau': 8.0}   |
|  85016           | 0.540 (+/-0.049) | 0.519 (+/-0.028) | {'T': 8, 'epochs': 50, 'tau': 16.0}   |
| 642008           | 0.536 (+/-0.017) | 0.526 (+/-0.029) | {'T': 64, 'epochs': 200, 'tau': 8.0}  |
|   8502           | 0.531 (+/-0.027) | 0.517 (+/-0.031) | {'T': 8, 'epochs': 50, 'tau': 2.0}    |
| 161008           | 0.531 (+/-0.040) | 0.517 (+/-0.012) | {'T': 16, 'epochs': 100, 'tau': 8.0}  |
| 645016           | 0.530 (+/-0.032) | 0.511 (+/-0.018) | {'T': 64, 'epochs': 50, 'tau': 16.0}  |
|  64508           | 0.530 (+/-0.028) | 0.530 (+/-0.030) | {'T': 64, 'epochs': 50, 'tau': 8.0}   |
|  41002           | 0.528 (+/-0.031) | 0.523 (+/-0.021) | {'T': 4, 'epochs': 100, 'tau': 2.0}   |
|  24008           | 0.525 (+/-0.025) | 0.495 (+/-0.020) | {'T': 2, 'epochs': 400, 'tau': 8.0}   |
|      1.62002e+06 | 0.522 (+/-0.048) | 0.512 (+/-0.020) | {'T': 16, 'epochs': 200, 'tau': 16.0} |
| 220016           | 0.522 (+/-0.033) | 0.523 (+/-0.016) | {'T': 2, 'epochs': 200, 'tau': 16.0}  |
| 164008           | 0.522 (+/-0.011) | 0.520 (+/-0.021) | {'T': 16, 'epochs': 400, 'tau': 8.0}  |
| 644008           | 0.522 (+/-0.025) | 0.520 (+/-0.029) | {'T': 64, 'epochs': 400, 'tau': 8.0}  |
| 322002           | 0.520 (+/-0.007) | 0.515 (+/-0.010) | {'T': 32, 'epochs': 200, 'tau': 2.0}  |
| 644004           | 0.520 (+/-0.024) | 0.512 (+/-0.017) | {'T': 64, 'epochs': 400, 'tau': 4.0}  |
|  32508           | 0.520 (+/-0.041) | 0.510 (+/-0.012) | {'T': 32, 'epochs': 50, 'tau': 8.0}   |
| 164002           | 0.520 (+/-0.017) | 0.525 (+/-0.036) | {'T': 16, 'epochs': 400, 'tau': 2.0}  |
|  81004           | 0.519 (+/-0.022) | 0.502 (+/-0.007) | {'T': 8, 'epochs': 100, 'tau': 4.0}   |
| 642002           | 0.518 (+/-0.019) | 0.512 (+/-0.015) | {'T': 64, 'epochs': 200, 'tau': 2.0}  |
|   8508           | 0.516 (+/-0.029) | 0.503 (+/-0.006) | {'T': 8, 'epochs': 50, 'tau': 8.0}    |
|  24004           | 0.511 (+/-0.017) | 0.507 (+/-0.006) | {'T': 2, 'epochs': 400, 'tau': 4.0}   |
|  21008           | 0.511 (+/-0.012) | 0.508 (+/-0.012) | {'T': 2, 'epochs': 100, 'tau': 8.0}   |
| 162004           | 0.510 (+/-0.017) | 0.502 (+/-0.003) | {'T': 16, 'epochs': 200, 'tau': 4.0}  |
| 322004           | 0.510 (+/-0.017) | 0.485 (+/-0.023) | {'T': 32, 'epochs': 200, 'tau': 4.0}  |
| 810016           | 0.510 (+/-0.009) | 0.500 (+/-0.002) | {'T': 8, 'epochs': 100, 'tau': 16.0}  |
|  21002           | 0.510 (+/-0.015) | 0.514 (+/-0.032) | {'T': 2, 'epochs': 100, 'tau': 2.0}   |
|      3.21002e+06 | 0.509 (+/-0.035) | 0.525 (+/-0.019) | {'T': 32, 'epochs': 100, 'tau': 16.0} |
|  16502           | 0.508 (+/-0.008) | 0.507 (+/-0.011) | {'T': 16, 'epochs': 50, 'tau': 2.0}   |
|  44008           | 0.506 (+/-0.012) | 0.508 (+/-0.017) | {'T': 4, 'epochs': 400, 'tau': 8.0}   |
|      3.22002e+06 | 0.506 (+/-0.025) | 0.548 (+/-0.043) | {'T': 32, 'epochs': 200, 'tau': 16.0} |
|  64502           | 0.506 (+/-0.011) | 0.502 (+/-0.012) | {'T': 64, 'epochs': 50, 'tau': 2.0}   |
| 820016           | 0.506 (+/-0.018) | 0.515 (+/-0.025) | {'T': 8, 'epochs': 200, 'tau': 16.0}  |
|  81008           | 0.506 (+/-0.011) | 0.501 (+/-0.001) | {'T': 8, 'epochs': 100, 'tau': 8.0}   |
|  81002           | 0.506 (+/-0.011) | 0.521 (+/-0.023) | {'T': 8, 'epochs': 100, 'tau': 2.0}   |
|   2502           | 0.506 (+/-0.011) | 0.502 (+/-0.004) | {'T': 2, 'epochs': 50, 'tau': 2.0}    |
|      6.44002e+06 | 0.506 (+/-0.024) | 0.503 (+/-0.004) | {'T': 64, 'epochs': 400, 'tau': 16.0} |
|  41004           | 0.505 (+/-0.006) | 0.503 (+/-0.008) | {'T': 4, 'epochs': 100, 'tau': 4.0}   |
|  42002           | 0.505 (+/-0.009) | 0.503 (+/-0.003) | {'T': 4, 'epochs': 200, 'tau': 2.0}   |
|  44002           | 0.504 (+/-0.026) | 0.500 (+/-0.004) | {'T': 4, 'epochs': 400, 'tau': 2.0}   |
|  22004           | 0.504 (+/-0.018) | 0.512 (+/-0.014) | {'T': 2, 'epochs': 200, 'tau': 4.0}   |
| 322008           | 0.504 (+/-0.007) | 0.507 (+/-0.006) | {'T': 32, 'epochs': 200, 'tau': 8.0}  |
| 642004           | 0.504 (+/-0.013) | 0.508 (+/-0.010) | {'T': 64, 'epochs': 200, 'tau': 4.0}  |
|  84008           | 0.504 (+/-0.006) | 0.493 (+/-0.012) | {'T': 8, 'epochs': 400, 'tau': 8.0}   |
| 210016           | 0.504 (+/-0.002) | 0.511 (+/-0.016) | {'T': 2, 'epochs': 100, 'tau': 16.0}  |
| 420016           | 0.503 (+/-0.006) | 0.517 (+/-0.012) | {'T': 4, 'epochs': 200, 'tau': 16.0}  |
| 321004           | 0.503 (+/-0.031) | 0.501 (+/-0.001) | {'T': 32, 'epochs': 100, 'tau': 4.0}  |
|      6.41002e+06 | 0.502 (+/-0.004) | 0.498 (+/-0.002) | {'T': 64, 'epochs': 100, 'tau': 16.0} |
| 324008           | 0.502 (+/-0.020) | 0.521 (+/-0.042) | {'T': 32, 'epochs': 400, 'tau': 8.0}  |
| 161004           | 0.502 (+/-0.003) | 0.497 (+/-0.004) | {'T': 16, 'epochs': 100, 'tau': 4.0}  |
|  22002           | 0.502 (+/-0.011) | 0.498 (+/-0.002) | {'T': 2, 'epochs': 200, 'tau': 2.0}   |
| 644002           | 0.502 (+/-0.004) | 0.500 (+/-0.002) | {'T': 64, 'epochs': 400, 'tau': 2.0}  |
|  84002           | 0.502 (+/-0.004) | 0.499 (+/-0.011) | {'T': 8, 'epochs': 400, 'tau': 2.0}   |
|   2504           | 0.501 (+/-0.042) | 0.524 (+/-0.024) | {'T': 2, 'epochs': 50, 'tau': 4.0}    |
| 641008           | 0.501 (+/-0.002) | 0.499 (+/-0.007) | {'T': 64, 'epochs': 100, 'tau': 8.0}  |
| 324002           | 0.501 (+/-0.005) | 0.501 (+/-0.005) | {'T': 32, 'epochs': 400, 'tau': 2.0}  |
|   4504           | 0.501 (+/-0.012) | 0.513 (+/-0.017) | {'T': 4, 'epochs': 50, 'tau': 4.0}    |
| 161002           | 0.500 (+/-0.007) | 0.497 (+/-0.004) | {'T': 16, 'epochs': 100, 'tau': 2.0}  |
| 162002           | 0.500 (+/-0.000) | 0.501 (+/-0.001) | {'T': 16, 'epochs': 200, 'tau': 2.0}  |
|  64504           | 0.500 (+/-0.004) | 0.500 (+/-0.002) | {'T': 64, 'epochs': 50, 'tau': 4.0}   |
|  45016           | 0.500 (+/-0.000) | 0.507 (+/-0.012) | {'T': 4, 'epochs': 50, 'tau': 16.0}   |
| 325016           | 0.500 (+/-0.000) | 0.499 (+/-0.001) | {'T': 32, 'epochs': 50, 'tau': 16.0}  |
| 164004           | 0.500 (+/-0.000) | 0.505 (+/-0.009) | {'T': 16, 'epochs': 400, 'tau': 4.0}  |
|  44004           | 0.499 (+/-0.009) | 0.508 (+/-0.007) | {'T': 4, 'epochs': 400, 'tau': 4.0}   |
| 410016           | 0.499 (+/-0.009) | 0.498 (+/-0.002) | {'T': 4, 'epochs': 100, 'tau': 16.0}  |
|      1.64002e+06 | 0.499 (+/-0.002) | 0.501 (+/-0.001) | {'T': 16, 'epochs': 400, 'tau': 16.0} |
|  32502           | 0.498 (+/-0.024) | 0.509 (+/-0.015) | {'T': 32, 'epochs': 50, 'tau': 2.0}   |
|  22008           | 0.498 (+/-0.014) | 0.499 (+/-0.018) | {'T': 2, 'epochs': 200, 'tau': 8.0}   |
| 165016           | 0.497 (+/-0.030) | 0.523 (+/-0.026) | {'T': 16, 'epochs': 50, 'tau': 16.0}  |
|  42004           | 0.497 (+/-0.008) | 0.499 (+/-0.001) | {'T': 4, 'epochs': 200, 'tau': 4.0}   |
| 641002           | 0.497 (+/-0.004) | 0.501 (+/-0.001) | {'T': 64, 'epochs': 100, 'tau': 2.0}  |
|      6.42002e+06 | 0.497 (+/-0.010) | 0.522 (+/-0.023) | {'T': 64, 'epochs': 200, 'tau': 16.0} |
| 641004           | 0.496 (+/-0.004) | 0.505 (+/-0.014) | {'T': 64, 'epochs': 100, 'tau': 4.0}  |
| 840016           | 0.495 (+/-0.013) | 0.501 (+/-0.007) | {'T': 8, 'epochs': 400, 'tau': 16.0}  |
|   4502           | 0.495 (+/-0.009) | 0.503 (+/-0.007) | {'T': 4, 'epochs': 50, 'tau': 2.0}    |
|   2508           | 0.495 (+/-0.009) | 0.502 (+/-0.003) | {'T': 2, 'epochs': 50, 'tau': 8.0}    |
| 321008           | 0.495 (+/-0.009) | 0.501 (+/-0.001) | {'T': 32, 'epochs': 100, 'tau': 8.0}  |
|      1.61002e+06 | 0.494 (+/-0.011) | 0.498 (+/-0.005) | {'T': 16, 'epochs': 100, 'tau': 16.0} |
|  82008           | 0.494 (+/-0.015) | 0.506 (+/-0.004) | {'T': 8, 'epochs': 200, 'tau': 8.0}   |
|   4508           | 0.494 (+/-0.017) | 0.502 (+/-0.003) | {'T': 4, 'epochs': 50, 'tau': 8.0}    |
|  21004           | 0.494 (+/-0.008) | 0.516 (+/-0.027) | {'T': 2, 'epochs': 100, 'tau': 4.0}   |
