# orig_data & Leave1Out
## FBCSP + classifier
SVM分类器
| abbr.                                      | test_score       | train_score      | params                                                                                                               |
|--------------------------------------------|------------------|------------------|----------------------------------------------------------------------------------------------------------------------|
| [12, 16]_4_riemann_6                       | 0.611 (+/-0.093) | 0.698 (+/-0.035) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                       |
| [12, 16]_4_euclid_6                        | 0.611 (+/-0.093) | 0.698 (+/-0.035) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                        |
| [12, 16]_4_logeuclid_6                     | 0.611 (+/-0.093) | 0.698 (+/-0.035) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                     |
| [12, 16]_2_riemann_6                       | 0.609 (+/-0.076) | 0.666 (+/-0.049) | {'FBCSP__band': [12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                       |
| [12, 16]_2_euclid_6                        | 0.609 (+/-0.076) | 0.666 (+/-0.049) | {'FBCSP__band': [12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                        |
| [12, 16]_2_logeuclid_6                     | 0.609 (+/-0.076) | 0.666 (+/-0.049) | {'FBCSP__band': [12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                     |
| [8, 12]_4_logeuclid_6                      | 0.591 (+/-0.069) | 0.724 (+/-0.019) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                      |
| [8, 12]_4_euclid_6                         | 0.591 (+/-0.069) | 0.724 (+/-0.019) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                         |
| [8, 12]_4_riemann_6                        | 0.591 (+/-0.069) | 0.724 (+/-0.019) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                        |
