# orig_data & Leave1Out
## FBCSP + classifier

| abbr.                                          | test_score       | train_score      | params                                                                                                                                  |
|------------------------------------------------|------------------|------------------|-----------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_all_euclid_6_SVC(C=0.5)            | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}            |
| [8, 12, 16]_all_logeuclid_6_SVC(C=0.5)         | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}         |
| [8, 12, 16]_8_euclid_6_SVC(C=0.5)              | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                |
| [8, 12, 16]_8_logeuclid_6_SVC(C=0.5)           | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}             |
| [8, 12, 16]_4_euclid_6_SVC(C=0.5)              | 0.626 (+/-0.105) | 0.703 (+/-0.044) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                |
| [8, 12, 16]_4_logeuclid_6_SVC(C=0.5)           | 0.626 (+/-0.105) | 0.703 (+/-0.044) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}             |
| [8, 12, 16]_all_logeuclid_6_SVC(kernel='poly') | 0.624 (+/-0.094) | 0.728 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')} |
| [8, 12, 16]_8_euclid_6_SVC(kernel='poly')      | 0.624 (+/-0.094) | 0.728 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}        |
| [8, 12, 16]_8_logeuclid_6_SVC(kernel='poly')   | 0.624 (+/-0.094) | 0.728 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}     |
| [8, 12, 16]_all_euclid_6_SVC(kernel='poly')    | 0.624 (+/-0.094) | 0.728 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}    |
| [8, 12, 16]_2_euclid_6_SVC(C=0.5)              | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                |
| [8, 12, 16]_2_logeuclid_6_SVC(C=0.5)           | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}             |
| [12, 16]_all_euclid_6_SVC(C=0.5)               | 0.616 (+/-0.100) | 0.684 (+/-0.037) | {'FBCSP__band': [12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}               |
| [12, 16]_all_logeuclid_6_SVC(C=0.5)            | 0.616 (+/-0.100) | 0.684 (+/-0.037) | {'FBCSP__band': [12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}            |
| [12, 16]_4_logeuclid_6_SVC(C=0.5)              | 0.616 (+/-0.100) | 0.684 (+/-0.037) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                |
| [12, 16]_4_euclid_6_SVC(C=0.5)                 | 0.616 (+/-0.100) | 0.684 (+/-0.037) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                   |
| [8, 12]_4_logeuclid_6_SVC(kernel='poly')       | 0.610 (+/-0.075) | 0.672 (+/-0.032) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}         |
| [8, 12]_4_euclid_6_SVC(kernel='poly')          | 0.610 (+/-0.075) | 0.672 (+/-0.032) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}            |
| [8, 12]_all_euclid_6_SVC(kernel='poly')        | 0.610 (+/-0.075) | 0.672 (+/-0.032) | {'FBCSP__band': [8, 12], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}        |
| [8, 12]_all_logeuclid_6_SVC(kernel='poly')     | 0.610 (+/-0.075) | 0.672 (+/-0.032) | {'FBCSP__band': [8, 12], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}     |
| [12, 16]_2_logeuclid_6_SVC(C=0.5)              | 0.602 (+/-0.073) | 0.666 (+/-0.051) | {'FBCSP__band': [12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                |
| [12, 16]_2_euclid_6_SVC(C=0.5)                 | 0.602 (+/-0.073) | 0.666 (+/-0.051) | {'FBCSP__band': [12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                   |
| [12, 16]_4_logeuclid_6_SVC(kernel='poly')      | 0.599 (+/-0.065) | 0.648 (+/-0.019) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}        |
| [12, 16]_4_euclid_6_SVC(kernel='poly')         | 0.599 (+/-0.065) | 0.648 (+/-0.019) | {'FBCSP__band': [12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}           |
| [12, 16]_all_euclid_6_SVC(kernel='poly')       | 0.599 (+/-0.065) | 0.648 (+/-0.019) | {'FBCSP__band': [12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}       |
| [12, 16]_all_logeuclid_6_SVC(kernel='poly')    | 0.599 (+/-0.065) | 0.648 (+/-0.019) | {'FBCSP__band': [12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}    |
| [8, 12, 16]_4_euclid_6_SVC(kernel='poly')      | 0.595 (+/-0.074) | 0.656 (+/-0.040) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}        |
| [8, 12, 16]_4_logeuclid_6_SVC(kernel='poly')   | 0.595 (+/-0.074) | 0.656 (+/-0.040) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}     |
| [8, 12]_4_logeuclid_6_SVC(C=0.5)               | 0.594 (+/-0.080) | 0.715 (+/-0.027) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                 |
| [8, 12]_all_logeuclid_6_SVC(C=0.5)             | 0.594 (+/-0.080) | 0.715 (+/-0.027) | {'FBCSP__band': [8, 12], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}             |
| [8, 12]_all_euclid_6_SVC(C=0.5)                | 0.594 (+/-0.080) | 0.715 (+/-0.027) | {'FBCSP__band': [8, 12], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                |
| [8, 12]_4_euclid_6_SVC(C=0.5)                  | 0.594 (+/-0.080) | 0.715 (+/-0.027) | {'FBCSP__band': [8, 12], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                    |
| [8, 12]_2_euclid_6_SVC(kernel='poly')          | 0.569 (+/-0.067) | 0.616 (+/-0.017) | {'FBCSP__band': [8, 12], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}            |
| [8, 12]_2_logeuclid_6_SVC(kernel='poly')       | 0.569 (+/-0.067) | 0.616 (+/-0.017) | {'FBCSP__band': [8, 12], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(kernel='poly')}         |
