# orig_data & Leave1Out
## FBCSP + classifier

| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
|----------------------------------------------------------------------------------|------------------|------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_all_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.656 (+/-0.108) | 0.820 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.652 (+/-0.107) | 0.813 (+/-0.017) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_8_euclid_6_SVC(C=0.5)                                                | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_8_logeuclid_6_SVC(C=0.5)                                             | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_all_euclid_6_SVC(C=0.5)                                              | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                              |
| [8, 12, 16]_all_logeuclid_6_SVC(C=0.5)                                           | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                           |
| [8, 12, 16]_8_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.646 (+/-0.101) | 0.817 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_euclid_6_SVC(C=0.5)                                                | 0.626 (+/-0.105) | 0.703 (+/-0.044) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.626 (+/-0.086) | 0.791 (+/-0.020) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_logeuclid_6_SVC(C=0.5)                                             | 0.626 (+/-0.105) | 0.703 (+/-0.044) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.620 (+/-0.083) | 0.794 (+/-0.029) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.619 (+/-0.100) | 0.832 (+/-0.005) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_euclid_6_SVC(C=0.5)                                                | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_logeuclid_6_SVC(C=0.5)                                             | 0.618 (+/-0.092) | 0.663 (+/-0.056) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.603 (+/-0.080) | 0.750 (+/-0.041) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.596 (+/-0.067) | 0.741 (+/-0.036) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
