# ea & Leave1Out
## FBCSP + classifier

| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
|----------------------------------------------------------------------------------|------------------|------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_8_euclid_6_SVC(C=0.5)                                                | 0.636 (+/-0.089) | 0.739 (+/-0.024) |  'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_8_logeuclid_6_SVC(C=0.5)                                             | 0.636 (+/-0.089) | 0.739 (+/-0.024) |  'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_all_euclid_6_SVC(C=0.5)                                              | 0.636 (+/-0.089) | 0.739 (+/-0.024) |  'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                              |
| [8, 12, 16]_all_logeuclid_6_SVC(C=0.5)                                           | 0.636 (+/-0.089) | 0.739 (+/-0.024) |  'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                           |
| [8, 12, 16]_2_euclid_6_SVC(C=0.5)                                                | 0.635 (+/-0.097) | 0.683 (+/-0.026) |  'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_logeuclid_6_SVC(C=0.5)                                             | 0.635 (+/-0.097) | 0.683 (+/-0.026) |  'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_all_logeuclid_6_RFC(max_depth=5, n_estimators=10) | 0.635 (+/-0.068) | 0.810 (+/-0.011) |  'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RFC(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.629 (+/-0.086) | 0.810 (+/-0.017) |  'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RFC(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_2_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.626 (+/-0.077) | 0.737 (+/-0.024) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_euclid_6_SVC(C=0.5)                                                | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_4_logeuclid_6_SVC(C=0.5)                                             | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_8_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.620 (+/-0.069) | 0.806 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_8_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.618 (+/-0.083) | 0.809 (+/-0.022) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.616 (+/-0.062) | 0.782 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_4_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.615 (+/-0.085) | 0.787 (+/-0.017) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.601 (+/-0.094) | 0.739 (+/-0.024) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
