# orig_data & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
|----------------------------------------------------------------------------------|------------------|------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_all_riemann_8_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.657 (+/-0.116) | 0.822 (+/-0.012) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}   |
| [8, 12, 16]_8_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.653 (+/-0.111) | 0.820 (+/-0.011) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_all_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.652 (+/-0.086) | 0.813 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_all_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.652 (+/-0.123) | 0.814 (+/-0.015) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_all_logeuclid_8_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.652 (+/-0.117) | 0.807 (+/-0.025) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_all_logeuclid_6_RandomForestClassifier(max_depth=5, n_estimators=10) | 0.651 (+/-0.103) | 0.809 (+/-0.025) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)} |
| [8, 12, 16]_8_logeuclid_2_SVC(C=0.5)                                             | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_8_logeuclid_4_SVC(C=0.5)                                             | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_8_euclid_6_SVC(C=0.5)                                                | 0.650 (+/-0.131) | 0.740 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
