# ra & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
|----------------------------------------------------------------------------------|------------------|------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| [8, 12, 16]_all_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.650 (+/-0.084) | 0.818 (+/-0.020) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_2_logeuclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.649 (+/-0.072) | 0.742 (+/-0.026) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_8_riemann_6_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.645 (+/-0.090) | 0.805 (+/-0.028) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_all_riemann_2_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.645 (+/-0.085) | 0.813 (+/-0.017) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}   |
| [8, 12, 16]_8_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.644 (+/-0.087) | 0.815 (+/-0.016) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.642 (+/-0.073) | 0.754 (+/-0.028) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_2_riemann_4_SVC(C=0.5)                                               | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 4, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_riemann_8_SVC(C=0.5)                                               | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_riemann_2_SVC(C=0.5)                                               | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_logeuclid_8_SVC(C=0.5)                                             | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_logeuclid_6_SVC(C=0.5)                                             | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_riemann_6_SVC(C=0.5)                                               | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_2_logeuclid_2_SVC(C=0.5)                                             | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_2_euclid_8_SVC(C=0.5)                                                | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                  |
| [8, 12, 16]_2_euclid_6_SVC(C=0.5)                                                | 0.641 (+/-0.088) | 0.695 (+/-0.031) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': SVC(C=0.5)}                                                  |
